QID SF SYS ITER TIME
14 1000 cmr_ans_display_time 3 0.000448
14 1000 cmr_ans_display_time 4 0.000357
15 1000 cmr_time 0 11.135
15 1000 spark_time 0 13.705
15 1000 cmr_time 1 3.888
15 1000 spark_time 1 10.072000000000001
15 1000 cmr_time 2 3.5180000000000002
15 1000 spark_time 2 7.736
15 1000 cmr_time 3 3.168
15 1000 spark_time 3 7.746
15 1000 cmr_time 4 2.735
15 1000 spark_time 4 7.5440000000000005
15 1000 cmr_ans_display_time 0 0.00018099999999999998
15 1000 cmr_ans_display_time 1 0.000179
15 1000 cmr_ans_display_time 2 0.000117
15 1000 cmr_ans_display_time 3 0.000148
15 1000 cmr_ans_display_time 4 0.00017199999999999998
16 1000 cmr_time 0 29.782
16 1000 spark_time 0 33.2
16 1000 cmr_time 1 19.501
16 1000 spark_time 1 27.73
16 1000 cmr_time 2 20.063
16 1000 spark_time 2 28.177
16 1000 cmr_time 3 18.392
16 1000 spark_time 3 26.32
16 1000 cmr_time 4 19.151
16 1000 spark_time 4 26.939
16 1000 cmr_ans_display_time 0 5.9999999999999995e-05
16 1000 cmr_ans_display_time 1 1.6e-05
16 1000 cmr_ans_display_time 2 1.8e-05
16 1000 cmr_ans_display_time 3 1.6e-05
16 1000 cmr_ans_display_time 4 1.4e-05
17 1000 cmr_time 0 15.258000000000001
17 1000 spark_time 0 12.568
17 1000 cmr_time 1 6.327
17 1000 spark_time 1 8.913
17 1000 cmr_time 2 5.646
17 1000 spark_time 2 8.486
17 1000 cmr_time 3 5.462
17 1000 spark_time 3 8.385
17 1000 cmr_time 4 5.647
17 1000 spark_time 4 8.94
17 1000 cmr_ans_display_time 0 0.000616
17 1000 cmr_ans_display_time 1 0.0006439999999999999
17 1000 cmr_ans_display_time 2 0.00040899999999999997
17 1000 cmr_ans_display_time 3 0.000589
17 1000 cmr_ans_display_time 4 0.000505
18 1000 cmr_time 0 15.272
18 1000 spark_time 0 16.076
18 1000 cmr_time 1 7.4590000000000005
18 1000 spark_time 1 11.28
18 1000 cmr_time 2 6.05
18 1000 spark_time 2 9.613
18 1000 cmr_time 3 5.7490000000000006
18 1000 spark_time 3 9.745000000000001
18 1000 cmr_time 4 6.212
18 1000 spark_time 4 9.114
18 1000 cmr_ans_display_time 0 0.00034899999999999997
18 1000 cmr_ans_display_time 1 0.000243
18 1000 cmr_ans_display_time 2 0.00020099999999999998
18 1000 cmr_ans_display_time 3 0.000192
18 1000 cmr_ans_display_time 4 0.00033299999999999996
19 1000 cmr_time 0 10.957
19 1000 spark_time 0 12.867
19 1000 cmr_time 1 3.287
19 1000 spark_time 1 7.436
19 1000 cmr_time 2 3.0
19 1000 spark_time 2 6.558
19 1000 cmr_time 3 2.532
19 1000 spark_time 3 5.771
19 1000 cmr_time 4 2.1510000000000002
19 1000 spark_time 4 5.952
19 1000 cmr_ans_display_time 0 0.000197
19 1000 cmr_ans_display_time 1 0.000133
19 1000 cmr_ans_display_time 2 0.00031099999999999997
19 1000 cmr_ans_display_time 3 0.000212
19 1000 cmr_ans_display_time 4 0.000176
20 1000 cmr_time 0 7.4830000000000005
20 1000 spark_time 0 5.373
20 1000 cmr_time 1 2.103
20 1000 spark_time 1 3.0220000000000002
20 1000 cmr_time 2 1.716
20 1000 spark_time 2 2.5260000000000002
20 1000 cmr_time 3 1.803
20 1000 spark_time 3 2.794
20 1000 cmr_time 4 2.403
20 1000 spark_time 4 2.7760000000000002
20 1000 cmr_ans_display_time 0 0.000444
20 1000 cmr_ans_display_time 1 0.000242
20 1000 cmr_ans_display_time 2 0.000297
20 1000 cmr_ans_display_time 3 0.00039
20 1000 cmr_ans_display_time 4 0.000244
21 1000 cmr_time 0 5.947
21 1000 spark_time 0 5.95
21 1000 cmr_time 1 2.77
21 1000 spark_time 1 3.1870000000000003
